r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,hh1_wealth,hh2_wealth,hh3_wealth,hh4_wealth,hh5_wealth,hh6_wealth,hh7_wealth,hh8_wealth,hh9_wealth,hh10_wealth,hh11_wealth,hh12_wealth,hh13_wealth,hh14_wealth,hh15_wealth,hh16_wealth,hh1_single_or_couple,hh2_single_or_couple,hh3_single_or_couple,hh4_single_or_couple,hh5_single_or_couple,hh6_single_or_couple,hh7_single_or_couple,hh8_single_or_couple,hh9_single_or_couple,hh10_single_or_couple,hh11_single_or_couple,hh12_single_or_couple,hh13_single_or_couple,hh14_single_or_couple,hh15_single_or_couple,hh16_single_or_couple,hh1_total_income,hh2_total_income,hh3_total_income,hh4_total_income,hh5_total_income,hh6_total_income,hh7_total_income,hh8_total_income,hh9_total_income,hh10_total_income,hh11_total_income,hh12_total_income,hh13_total_income,hh14_total_income,hh15_total_income,hh16_total_income,hh1_debt,hh2_debt,hh3_debt,hh4_debt,hh5_debt,hh6_debt,hh7_debt,hh8_debt,hh9_debt,hh10_debt,hh11_debt,hh12_debt,hh13_debt,hh14_debt,hh15_debt,hh16_debt,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status,r1_has_partner,r2_has_partner,r3_has_partner,r4_has_partner,r5_has_partner,r6_has_partner,r7_has_partner,r8_has_partner,r9_has_partner,r10_has_partner,r11_has_partner,r12_has_partner,r13_has_partner,r14_has_partner,r15_has_partner,r16_has_partner,r1_urbanicity,r2_urbanicity,r3_urbanicity,r4_urbanicity,r5_urbanicity,r6_urbanicity,r7_urbanicity,r8_urbanicity,r9_urbanicity,r10_urbanicity,r11_urbanicity,r12_urbanicity,r13_urbanicity,r14_urbanicity,r15_urbanicity,r1_health_self_reported,r2_health_self_reported,r3_health_self_reported,r4_health_self_reported,r5_health_self_reported,r6_health_self_reported,r7_health_self_reported,r8_health_self_reported,r9_health_self_reported,r10_health_self_reported,r11_health_self_reported,r12_health_self_reported,r13_health_self_reported,r14_health_self_reported,r15_health_self_reported,r16_health_self_reported,r1_job_industry_1980,r2_job_industry_1980,r3_job_industry_1980,r4_job_industry_1980,r5_job_industry_1980,r6_job_industry_1980,r7_job_industry_1980,r8_job_industry_1980,r9_job_industry_1980,r10_job_industry_1980,r11_job_industry_1980,r12_job_industry_1980,r13_job_industry_1980,r14_job_industry_1980,r15_job_industry_1980,r16_job_industry_1980,r7_job_industry_2002,r8_job_industry_2002,r9_job_industry_2002,r10_job_industry_2002,r11_job_industry_2002,r12_job_industry_2002,r13_job_industry_2002,r14_job_industry_2002,r15_job_industry_2002,r16_job_industry_2002,r10_job_industry_2007,r11_job_industry_2007,r12_job_industry_2007,r13_job_industry_2007,r14_job_industry_2007,r15_job_industry_2007,r16_job_industry_2007,r1_job_physical,r2_job_physical,r3_job_physical,r4_job_physical,r5_job_physical,r6_job_physical,r7_job_physical,r8_job_physical,r9_job_physical,r10_job_physical,r11_job_physical,r12_job_physical,r13_job_physical,r14_job_physical,r15_job_physical,r16_job_physical,r1_job_stress,r2_job_stress,r3_job_stress,r4_job_stress,r5_job_stress,r6_job_stress,r7_job_stress,r8_job_stress,r9_job_stress,r10_job_stress,r11_job_stress,r12_job_stress,r13_job_stress,r14_job_stress,r15_job_stress,r16_job_stress,r1_job_hours,r2_job_hours,r3_job_hours,r4_job_hours,r5_job_hours,r6_job_hours,r7_job_hours,r8_job_hours,r9_job_hours,r10_job_hours,r11_job_hours,r12_job_hours,r13_job_hours,r14_job_hours,r15_job_hours,r16_job_hours,r1_income,r2_income,r3_income,r4_income,r5_income,r6_income,r7_income,r8_income,r9_income,r10_income,r11_income,r12_income,r13_income,r14_income,r15_income,r16_income,r1_retire_mon,r2_retire_mon,r3_retire_mon,r4_retire_mon,r5_retire_mon,r6_retire_mon,r7_retire_mon,r8_retire_mon,r9_retire_mon,r10_retire_mon,r11_retire_mon,r12_retire_mon,r13_retire_mon,r14_retire_mon,r15_retire_mon,r16_retire_mon,r1_retire_yr,r2_retire_yr,r3_retire_yr,r4_retire_yr,r5_retire_yr,r6_retire_yr,r7_retire_yr,r8_retire_yr,r9_retire_yr,r10_retire_yr,r11_retire_yr,r12_retire_yr,r13_retire_yr,r14_retire_yr,r15_retire_yr,r16_retire_yr
1010,1938.0,1.0,1.0,16.0,5.0,5.0,,671.0,6000.0,-69636.91390053395,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,33230.0,18890.0,,,,,,,,,,,,,,,0.0,75636.91390053395,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,33000.0,13850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,1934.0,2.0,1.0,8.0,0.0,1.0,8.0,562.0,0.0,100.0,0.0,6.0,-35.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5184.0,3024.0,5796.0,6096.0,6000.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,35.0,,,,,,,,,,,,5.0,1.0,5.0,5.0,5.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,3.0,4.0,5.0,3.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.0,,7.0,7.0,7.0,,,,,,,,,,,,1981.0,1978.0,1978.0,1978.0,1978.0,,,,,,,,,,,
3010,1936.0,1.0,1.0,12.0,2.0,3.0,4.0,746.0,155000.0,211000.0,490500.0,656000.0,1465000.0,704000.0,756000.0,914000.0,1156000.0,1240000.0,2886000.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,63000.0,63000.0,31100.0,7300.0,21120.0,75528.0,48660.0,39488.0,42400.0,61364.0,56000.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,4.0,4.0,9.0,7.0,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,2.0,3.0,4.0,4.0,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,40.0,40.0,32.0,30.0,24.0,32.0,32.0,,,,,,,,,,40000.0,60000.0,4000.0,4000.0,3000.0,10000.0,6000.0,0.0,0.0,0.0,0.0,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,1995.0,,,,,
3020,1938.0,2.0,1.0,16.0,5.0,5.0,1.0,756.0,155000.0,211000.0,490500.0,656000.0,1465000.0,704000.0,756000.0,914000.0,1156000.0,1240000.0,2886000.0,1070000.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,63000.0,63000.0,31100.0,7300.0,21120.0,75528.0,48660.0,39488.0,42400.0,61364.0,56000.0,703500.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,2.0,,,,,,,,,,,15.0,20.0,15.0,15.0,20.0,10.0,,,,,,,,,,,0.0,3000.0,24000.0,3000.0,3000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,1967.0,1992.0,1992.0,1992.0,1992.0,1992.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,,,,
10001010,1939.0,1.0,1.0,12.0,2.0,3.0,0.0,754.0,7000.0,1000.0,90200.0,95000.0,170000.0,450000.0,450000.0,1000000.0,1000000.0,1000900.0,900900.0,901500.0,901000.0,,,1000300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12000.0,5652.0,7464.0,9904.0,6276.0,9588.0,10188.0,10260.0,14400.0,12000.0,12000.0,21600.0,,,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,3.0,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,,1994.0,,,1999.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0,,,1998.0
10003020,1934.0,1.0,1.0,16.0,5.0,5.0,0.0,685.0,669500.0,158000.0,61910.0,45150.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,102000.0,41800.0,16727.0,19632.0,,,,,,,,,,,,,0.0,6000.0,33600.0,0.0,,,,,,,,,,,,,1.0,4.0,4.0,5.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,40.0,20.0,20.0,,,,,,,,,,,,,,51000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1991.0,,,,,,,,,,,,
10003030,1956.0,2.0,1.0,16.0,5.0,5.0,0.0,,669500.0,158000.0,61910.0,45150.0,152500.0,267000.0,21300.0,18000.0,6000.0,0.0,350000.0,366000.0,350000.0,850000.0,850000.0,5241209.635034939,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102000.0,41800.0,16727.0,19632.0,0.0,13000.0,0.0,12000.0,0.0,11592.0,11808.0,12060.0,21540.0,19152.0,15768.0,13000.0,0.0,6000.0,33600.0,0.0,1000.0,0.0,0.0,2000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,1.0,7.0,7.0,7.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,19000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,,,,,,,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1993.0,1990.0,1992.0
10004010,1939.0,1.0,1.0,16.0,5.0,5.0,2.0,622.0,630348.1902311507,1023000.0,1347000.0,1973204.0069484191,3783558.103096294,1640000.0,2323000.0,2357000.0,2698000.0,4096064.699323497,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,108700.0,158000.0,425748.0,242340.69886889213,100176.0,78400.0,91718.0,87808.0,58236.0,187000.0,,,,,,,0.0,0.0,0.0,3500.0,0.0,300000.0,0.0,0.0,0.0,0.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,,,,,,1.0,,3.0,3.0,3.0,2.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,1990.0,,,,,,
10004040,1946.0,2.0,1.0,12.0,2.0,3.0,0.0,,630348.1902311507,1023000.0,1347000.0,1973204.0069484191,3783558.103096294,1640000.0,2323000.0,2357000.0,2698000.0,4096064.699323497,1669707.5293748183,1114999.999999997,1065000.0,2280000.0,2023939.0,2145873.6581724817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,108700.0,158000.0,425748.0,242340.69886889213,100176.0,78400.0,91718.0,87808.0,58236.0,187000.0,354831.51095941017,19200.0,37600.0,174668.94400907596,39097.0627751517,72695.14629080784,0.0,0.0,0.0,3500.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,5.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,2.0,3.0,2.0,1.0,,,,,,,,,,,,,35.0,40.0,45.0,,,,,,,,,,,,,,65000.0,75000.0,97000.0,95000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,1997.0,1999.0,1999.0,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0
10013010,1938.0,1.0,1.0,12.0,2.0,3.0,1.0,739.0,175000.0,,200.0,0.0,1100.0,0.0,500.0,50.0,0.0,7300.0,2000.0,11000.0,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,55000.0,,30000.0,11440.0,3531.0,12168.0,12852.0,14316.0,60014376.0,15924.0,15240.0,15276.0,,,,,10000.0,,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,,,,,9.0,,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,4.0,,,,,,,,,,,,,1.0,,4.0,3.0,,,,,,,,,,,,,45.0,,40.0,20.0,,,,,,,,,,,,,27500.0,,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,,,,
