r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
000001010,1938.0,1.0,1.0,16.0,5.0,5.0,,671.0,1.0,6.0,,,,,,,,,,,,,,
000002010,1934.0,2.0,1.0,8.0,0.0,1.0,8.0,562.0,5.0,1.0,5.0,5.0,5.0,,,,,,,,,,,
000003010,1936.0,1.0,1.0,12.0,2.0,3.0,4.0,746.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,,
000003020,1938.0,2.0,1.0,16.0,5.0,5.0,1.0,756.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
010001010,1939.0,1.0,1.0,12.0,2.0,3.0,0.0,754.0,3.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0
010003020,1934.0,1.0,1.0,16.0,5.0,5.0,0.0,685.0,1.0,4.0,4.0,5.0,,,,,,,,,,,,
010003030,1956.0,2.0,1.0,16.0,5.0,5.0,0.0,,1.0,7.0,7.0,7.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
010004010,1939.0,1.0,1.0,16.0,5.0,5.0,2.0,622.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,
010004040,1946.0,2.0,1.0,12.0,2.0,3.0,0.0,,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
010013010,1938.0,1.0,1.0,12.0,2.0,3.0,1.0,739.0,1.0,,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
010013040,1947.0,2.0,1.0,13.0,3.0,4.0,1.0,746.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
010038010,1936.0,1.0,1.0,16.0,5.0,5.0,2.0,793.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
010038040,1943.0,2.0,1.0,16.0,5.0,5.0,2.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0
010050010,1941.0,2.0,3.0,17.0,6.0,5.0,0.0,813.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
010059020,1935.0,2.0,1.0,16.0,5.0,5.0,4.0,776.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0
010059030,1928.0,1.0,1.0,17.0,7.0,5.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0
010063010,1938.0,2.0,2.0,9.0,0.0,1.0,5.0,789.0,3.0,7.0,2.0,,,,5.0,5.0,,5.0,5.0,5.0,5.0,,,
010075020,1937.0,2.0,3.0,8.0,0.0,1.0,1.0,746.0,4.0,1.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0
010075030,1927.0,1.0,1.0,12.0,2.0,3.0,1.0,823.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
010083010,1939.0,1.0,2.0,10.0,0.0,1.0,4.0,,,,,1.0,1.0,5.0,5.0,5.0,5.0,,,,,,,
010083020,1941.0,2.0,2.0,11.0,0.0,1.0,4.0,588.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,,,,,
010090010,1934.0,2.0,2.0,12.0,2.0,3.0,,,5.0,5.0,,,,,,,,,,,,,,
010094010,1933.0,2.0,2.0,12.0,2.0,3.0,,,2.0,,,,,,,,,,,,,,,
010097010,1939.0,1.0,1.0,12.0,2.0,3.0,,,1.0,5.0,,,,,,,,,,,,,,
010097040,1948.0,2.0,1.0,11.0,0.0,1.0,2.0,564.0,7.0,7.0,3.0,2.0,3.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,
010099010,1932.0,2.0,1.0,12.0,2.0,3.0,2.0,732.0,4.0,1.0,4.0,5.0,,5.0,5.0,,,5.0,,5.0,5.0,,,
010106010,1931.0,1.0,1.0,17.0,6.0,5.0,3.0,744.0,5.0,5.0,5.0,5.0,,5.0,,,,,5.0,5.0,5.0,5.0,5.0,
010106020,1933.0,2.0,1.0,13.0,3.0,4.0,3.0,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
010109020,1937.0,2.0,1.0,17.0,7.0,5.0,,,2.0,,,,,,,,,,,,,,,
010109030,1929.0,1.0,1.0,17.0,7.0,5.0,3.0,841.0,1.0,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,
010114010,1937.0,2.0,2.0,12.0,2.0,3.0,0.0,746.0,1.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
010124010,1933.0,2.0,2.0,17.0,6.0,5.0,,780.0,5.0,5.0,,5.0,5.0,5.0,4.0,,,,,,,,,
010124011,1900.0,1.0,2.0,12.0,2.0,3.0,4.0,,,,,,1.0,,,,,,,,,,,
010147010,1932.0,2.0,3.0,8.0,0.0,1.0,8.0,787.0,6.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,,
010155010,1938.0,2.0,2.0,7.0,1.0,2.0,5.0,621.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
010196010,1934.0,2.0,2.0,12.0,2.0,3.0,3.0,697.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,,,,,
010206010,1936.0,2.0,2.0,12.0,2.0,3.0,3.0,754.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,,,,,
010210010,1941.0,2.0,3.0,7.0,0.0,1.0,9.0,733.0,2.0,6.0,1.0,2.0,2.0,6.0,6.0,5.0,7.0,,,,,,,
